CODIGO;DESCRIPCION;PVP;PVD
00432582;Selector de muletilla 2 Posiciones.;18311;15538
01.001.5553.0;Caja vacia para montaje en riel. Marca Wieland;5000;4244
01.001.5653.0;Caja vacia para montaje en riel;5000;4244
01.001.6253.0;Caja vacia para montaje en riel. Marca W;5000;4244
010123;"Ojo de buey 3.5"" Blanco con vidrio.";7958;6756
01021;Sacabocado, PG11;271437;230311
01033;Sacabocados PG.13;271437;230311
01140.0-00;Termostato KTOD011 para resistencia NCO-60 o  C.. Marca Stego.;50000;42429
01141.0-00;Termostato. 120V.15 amp.temp. de regulaci? 0-60C.IP20;39294;33336
0116-70MHLL;***INACTIVO***;105269;89319
01213;Kardan Sencilla recesada de sobreponer GU10 Color Negro.;55714;47277
012132BK;Cardan DOBLE reces BL  ref. DL213 173*93*25.;40504;34370
012132BL;Cardan DOBLE reces BL  ref. DL213 173*93*25.;40504;34370
012133BK;Cardan TRIPLE  reces BL  ref. DL213 253*93*2;55504;47092
012133BL;Cardan TRIPLE  reces BL  ref. DL213 253*93*2;64739;54924
01213BK;Cardan recesesada pc NEGRA ref. DL213 93*93*2.;19504;16546
01213BL;Cardan reces pc blanco ref. DL213 93*93*2;19504;16546
01213CUBBL;Cubo Blanco recesado.;46437;39395
01213CUBNE;Cubo para sobreponer 10x10 cms GU10. Color Negro.;45357;38485
01217BL;Bala PC217 Blanco.;12679;10758
01220.0-00;Higrostato mecanico MFR012.Stego;192866;163639
0122778032;Bala halogena redonda blanca;10218;8672
01230.9-01;Higrotermo electronico 0 a 60? 120V.  Marca Stego.;363639;308546
0127778032-BL;Bala de sobreponer color blanca.;140000;0
0127778033-NG;Bala de sobreponer color negro.;140000;0
01302/06/30;Aplique de Exterior Redondo. E27. 60W. IP44. Negro.;58445;49597
01302/06/31;Aplique de Exterior Redondo. E27. 60W. IP44. Blanco.;78571;66672
015009S-BL;BALA RECESADA REDONDA POLICARBOATO GU10.;27647;23462
01698;Sacabocado, completo manual, diam.28.3,;0;0
0175-630701;Reflector de Exterior. 70W. Metal Halide. CWA. Incl. Bombilla. Philips;217538;184580
01801.0-01;Ventilador con filtro FF 018(5??)120v/60hz.;251487;213378
01802.0-01;"Ventilador FF018 (7"") 176x176mm. AC 120V Stego.";324109;275000
